Reference, Value, Footprint, Datasheet, MFG Name, MFG Part Num, Distrib PN, Distrib Link, Tolerance, Others
F301,nanoSMD350LR,dvk-mx8m-bsb:LittleFuse_1206,http://www.littelfuse.com/~/media/electronics/datasheets/resettable_ptcs/littelfuse_ptc_lowrhosmd_datasheet.pdf.pdf,Littelfuse,nanoSMD350LR,NANOSMD350LR-2,https://www.arrow.com/en/products/nanosmd350lr-2/littelfuse,-,https://www.digikey.com/products/en/circuit-protection/ptc-resettable-fuses/150?FV=1140003%2Cmu3.1A%7C682%2Cmu3.3A%7C682%2Cmu3.5A%7C682%2Cmu3.7A%7C682%2Cmu3.8A%7C682%2C1f140000%2Cffe00096&quantity=0&ColumnSort=-682&page=1&pageSize=500
F201,nanoSMD400LR,dvk-mx8m-bsb:LittleFuse_1206,http://www.littelfuse.com/~/media/electronics/datasheets/resettable_ptcs/littelfuse_ptc_lowrhosmd_datasheet.pdf.pdf,Littelfuse,nanoSMD400LR,NANOSMD400LR-C-2,https://www.arrow.com/en/products/nanosmd400lr-c-2/littelfuse,-,https://www.digikey.com/products/en/circuit-protection/ptc-resettable-fuses/150?k=&pkeyword=&pv2074=u1+mOhms&pv2074=u1.5+mOhms&pv2074=u4+mOhms&pv2075=u10+mOhms&FV=1140003%2Cmu4.5A%7C682%2Cmu4A%7C682%2Cmu5.5A%7C682%2Cmu5A%7C682%2Cmu6.5A%7C682%2Cmu6A%7C682%2Cmu7.5A%7C682%2Cmu7A%7C682%2Cab80001%2Cab8000a%2Cab8000b%2Cab8000c%2Cab80011%2Cab80012%2Cab800b6%2Cab80013%2Cab80002%2Cab80015%2Cab80017%2Cab800f4%2Cab800f5%2Cab800f7%2Cab800f8%2Cab800fa%2Cab800fe%2Cab80104%2Cab80106%2Cab8001b%2Cab80003%2Cab80004%2Cab8002c%2Cab80005%2Cab80007%2Cab80049%2Cab8004a%2Cab80009%2C1f140000%2Cffe00096%2Cmu8A%7C683&quantity=0&ColumnSort=1000011&page=1&pageSize=500
F1901,PICOSMDC035S-2,dvk-mx8m-bsb:Fuse_SMD0805_Reflow,http://m.littelfuse.com/~/media/electronics/product_specifications/resettable_ptcs/littelfuse_ptc_picosmdc035s_2_product_specification.pdf.pdf,Littlefuse,PICOSMDC035S-2,PICOSMDC035S-2,https://www.arrow.com/en/products/picosmdc035s-2/littelfuse,-,https://octopart.com/search?q=PICOSMDC035S&start=0
J2401,Conn_01x02,dvk-mx8m-bsb:1.25T-1-2AW,https://datasheet.lcsc.com/szlcsc/Boom-Precision-Elec-1-25T-1-2AW_C10832.pdf,Boom Precision,1.25T-1-2AW,1.25T-1-2AW,https://lcsc.com/product-detail/1-25T-Connectors_1-25T-1-2AW_C10832.html,-,https://www.arrow.com/en/products/0530480210/molex
J1803,Key_E,dvk-mx8m-bsb:MDT180EXX,https://www.amphenolcanada.com/ProductSearch/drawings/AC/CMDT180XXX001.pdf,Amphenol,MDT180E03001,MDT180E03001CT-ND,https://www.digikey.com/product-detail/en/amphenol-commercial-products/MDT180E03001/MDT180E03001CT-ND/5810396,-,https://octopart.com/search?q=MDT180E03001&start=0
J1202,LCD,dvk-mx8m-bsb:Conn_Hirose_FPC_39x0_3,https://www.hirose.com/product/en/download_file/key_name/FH26-39S-0.3SHW%2805%29/category/Drawing%20(2D)/doc_file_id/42931/?file_category_id=6&item_id=05800201105&is_series=,Hirose,FH26-39S-0.3SHW,FH26-39S-0.3SHW(05),https://www.arrow.com/en/products/fh26-39s-0.3shw-05/hirose-electric?utm_campaign=octopart_2018&utm_currency=USD&utm_keyword=FH26-39S-0.3SHW%2805%29&utm_medium=aggregator&utm_content=inv_listing&utm_source=octopart,-,https://octopart.com/search?q=FH26-39s-0.3shw&start=0
J1001,Micro_SD,dvk-mx8m-bsb:ALPS_SCHA4B0419,https://www.mouser.com/datasheet/2/15/alps_SCHA4B0419-1155906.pdf,ALPS,SCHA4B0419,688-SCHA4B0419,https://www.mouser.com/ProductDetail/ALPS/SCHA4B0419?qs=sGAEpiMZZMuJakaoiLiBpsFSICW6cUCj0ci6XSEAGXcTwv1T7afZMw%3d%3d,-,https://www.mouser.com/Connectors/Memory-Connectors/Memory-Card-Connectors/_/N-axj8k?P=1yzxfxm&Ns=Pricing|0
J1504,Micro_SIM_Card,dvk-mx8m-bsb:JAE_SF56,http://www.jae.com/z-en/pdf_download_exec.cfm?param=MB-0256-2E_SF56.pdf,JAE,SF56S006V4BR2000,670-2834-1-ND,https://www.digikey.com/product-detail/en/jae-electronics/SF56S006V4BR2000/670-2834-1-ND/5280152,-,https://www.digikey.com/products/en/connectors-interconnects/memory-connectors-pc-card-sockets/414?FV=85c0073%2C85c0082%2C85c0084%2C85c0086%2C85c0052%2C1f140000%2Cffe0019e%2C160001a%2C16002bf%2C160035d&quantity=&ColumnSort=1000011&page=1&pageSize=500
J1901,Mini-HDMI,dvk-mx8m-bsb:HDMI_Mini_Female_2001-1-2-21-00-BK,http://cnctech.us/pdfs/2001-1-2-21-00-BK.pdf,,2001-1-2-21-00-BK,1175-1704-1-ND,https://www.digikey.com/product-detail/en/cnc-tech/2001-1-2-21-00-BK/1175-1704-1-ND/4867013,-,https://www.digikey.com/products/en/connectors-interconnects/usb-dvi-hdmi-connectors/312?FV=ffe00138%2C7008fd%2C1f140000&quantity=&ColumnSort=1000011&page=1&pageSize=500
J1503,mPCIe,dvk-mx8m-bsb:mpcie-socket,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7F8-1773459-7_EXPRESS_MINI_CARD_QRG%7F0816%7Fpdf%7FEnglish%7FENG_DS_8-1773459-7_EXPRESS_MINI_CARD_QRG_0816.pdf%7F2041119-1,TE Connectivity,2041119-1,571-2041119-1,https://www2.mouser.com/ProductDetail/TE-Connectivity/2041119-1?qs=%252bD5sUuPmlApmv1YR%252baSc%252bw%3D%3D,,
J701,NC,Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm,"https://media.digikey.com/PDF/Data%20Sheets/Sullins%20PDFs/z%20RzCzzzSzzN-RC,%20ST,11635-B.pdf",Sullins,PREC006SAAN-RC,S1012EC-06-ND,https://www.digikey.com/product-detail/en/sullins-connector-solutions/PREC006SAAN-RC/S1012EC-06-ND/2774848,-,https://www.digikey.com/products/en/connectors-interconnects/rectangular-connectors-headers-male-pins/314?k=&pkeyword=&pv5=1814&FV=114016f%2C1140050%2C1600007%2C1680001%2C8d00002%2C1bf80001%2C1f140000%2C1fa40053%2Cffe0013a%2C9340019&quantity=0&ColumnSort=1000011&page=1&pageSize=500
J801,NC,Pin_Headers:Pin_Header_Straight_2x05_Pitch1.27mm_SMD,https://media.digikey.com/pdf/Data%20Sheets/Sullins%20PDFs/GRPB_%20_2VWQS-RC%2010958-C.pdf,Sullins,GRPB052VWQS-RC,S9012E-05-ND,https://www.digikey.com/product-detail/en/sullins-connector-solutions/GRPB052VWQS-RC/S9012E-05-ND/1786414,-,https://www.digikey.com/products/en/connectors-interconnects/rectangular-connectors-headers-male-pins/314?k=&pkeyword=&pv2024=6&FV=1140003%2C160000a%2C1680002%2C1fa40016%2Cffe0013a&quantity=0&ColumnSort=1000011&page=1&pageSize=500
J1301,OV5640,dvk-mx8m-bsb:Conn_Pan_AXT530124,https://www3.panasonic.biz/ac/cdn/e/control/connector/base-fpc/catalog/con_eng_f4s.pdf,Panasonic,AXT530124,769-AXT530124,https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/AXT530124?qs=2rFUEsTwVNyiwPOEKkiHLw%3D%3D,-,https://octopart.com/search?q=AXT530124&start=0
J1701,RJ45,dvk-mx8m-bsb:Conn_Molex_MagJack,http://www.molex.com/pdm_docs/sd/936263006_sd.pdf,,936263006,WM17615-ND,https://www.mouser.com/ProductDetail/Molex/93626-3006?qs=sGAEpiMZZMve4%2fbfQkoj%252bP%252b9Vd3WiQP62rKsrDLsV38%3d,-,https://octopart.com/search?q=93626-3006&start=0
J1601,SJ-43515TS,dvk-mx8m-bsb:Phone_Jack_SJ-43515TS,https://www.cui.com/product/resource/sj-4351x.pdf,CUI,SJ-43515TS,CP-43515TS-ND,https://www.arrow.com/en/products/sj-43515ts/cui-inc,-,https://www.digikey.com/products/en/connectors-interconnects/barrel-audio-connectors/434?FV=740002%2C8740008%2C1e800011%2C1f140000%2Cffe001b2%2C440007f%2C4400044%2C4400045&quantity=0&ColumnSort=1000011&page=1&pageSize=500
J2201,Smart_Card,dvk-mx8m-bsb:Conn_Amphenol_SIMcard_10100271,https://www.amphenolcanada.com/productsearch/drawings/ac/1010027182.pdf,Amphenol,1010027182,1010027182,https://www.onlinecomponents.com/amphenol-commercial-products-1010027182.html?p=48410341&utm_source=octopart&utm_medium=inventoryrefferal&utm_campaign=octopart&ref=OctopartFeed,-,https://octopart.com/search?q=1010027182&start=0
J1201,Touch,dvk-mx8m-bsb:FH34SRJ-6S-0.5SH,https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=FH34SRJ-6S-0.5SH(50),Hirose Electric,FH34SRJ-6S-0.5SH(50),H125773CT-ND,https://www.digikey.com/product-detail/en/hirose-electric-co-ltd/FH34SRJ-6S-0.5SH-50/H125773CT-ND/8594852,-,https://www.mouser.com/ProductDetail/Hirose-Connector/FH34SRJ-6S-05SH50?qs=vnk2wBG9e15jF3vv7p0sbw%3D%3D
J1501,U.FL,dvk-mx8m-bsb:U.FL_Hirose_U.FL-R-SMT-1_Vertical,https://linxtechnologies.com/wp/wp-content/uploads/conufl001-smd.pdf,Linx,CONUFL001-SMD-T,712-CONUFL001-SMD-T,https://www.mouser.com/ProductDetail/Linx-Technologies/CONUFL001-SMD-T?qs=%2fha2pyFaduivK93xHKUivxg4VjfDQlObuMZMwyaL26SpKX%252bySjigOg%3d%3d,-,https://octopart.com/search?q=CONUFL001-SMD-T&oq=CONUFL001-SMD-T&start=0
J1502,U.FL,dvk-mx8m-bsb:U.FL_Hirose_U.FL-R-SMT-1_Vertical,https://linxtechnologies.com/wp/wp-content/uploads/conufl001-smd.pdf,Linx,CONUFL001-SMD-T,712-CONUFL001-SMD-T,https://www.mouser.com/ProductDetail/Linx-Technologies/CONUFL001-SMD-T?qs=%2fha2pyFaduivK93xHKUivxg4VjfDQlObuMZMwyaL26SpKX%252bySjigOg%3d%3d,-,https://octopart.com/search?q=CONUFL001-SMD-T&oq=CONUFL001-SMD-T&start=0
J1801,MHF4,dvk-mx8m-bsb:MHF4_20449-001E,http://www.taoglas.com/images/product_images/original_images/RECE.20449.001E.01.pdf,Taoglas,RECE-20449-001E-01,960-RECE20449-001E01,https://www.mouser.com/ProductDetail/Taoglas/RECE-20449-001E-01?qs=%2fha2pyFaduhuIY4wWTVKB6roJgz9SHYsLjNmpvVxDNcgjaumesx7oRkp8dxIiEMJ,-,https://octopart.com/search?q=RECE-20449-001E-01&start=0
J1802,MHF4,dvk-mx8m-bsb:MHF4_20449-001E,http://www.taoglas.com/images/product_images/original_images/RECE.20449.001E.01.pdf,Taoglas,RECE-20449-001E-01,960-RECE20449-001E01,https://www.mouser.com/ProductDetail/Taoglas/RECE-20449-001E-01?qs=%2fha2pyFaduhuIY4wWTVKB6roJgz9SHYsLjNmpvVxDNcgjaumesx7oRkp8dxIiEMJ,-,https://octopart.com/search?q=RECE-20449-001E-01&start=0
J201,USB_C,dvk-mx8m-bsb:USB_C_Receptacle,https://www.mouser.com/datasheet/2/18/Amphenol_03192018_12401598E4_2A-1313897.pdf,Amphenol,12401598E4#2A,523-12401598E4#2A,https://www.mouser.com/ProductDetail/Amphenol-Commercial-Products/12401598E42A?qs=sGAEpiMZZMulM8LPOQ%252byk%252bquSaH2WQ%2flVj70qO6U3QOxNt%2fSK0YysQ%3d%3d,-,https://www.digikey.com/products/en/connectors-interconnects/usb-dvi-hdmi-connectors/312?k=&pkeyword=&pv29=10&FV=700b08%2C1f140000%2Cffe00138&quantity=0&ColumnSort=1000011&page=1&pageSize=500
